Date,Open,High,Low,Close,Adj Close,Volume
2011-04-28,19.915001,19.980000,19.465000,19.674999,16.375826,26400000
2011-04-29,19.665001,19.684999,19.420000,19.420000,16.163588,26627800
2011-05-02,19.535000,20.450001,19.500000,20.334999,16.925150,28164800
2011-05-03,20.410000,20.865000,20.150000,20.830000,17.337151,23400000
2011-05-04,20.790001,20.875000,20.455000,20.665001,17.199816,20905400
2011-05-05,20.625000,20.684999,20.280001,20.309999,16.904345,17000000
2011-05-06,20.459999,20.665001,20.424999,20.504999,17.066645,15584400
2011-05-09,20.440001,20.764999,20.420000,20.620001,17.162369,16262200
2011-05-10,20.635000,20.785000,20.350000,20.520000,17.079140,15902200
2011-05-11,20.575001,20.590000,20.155001,20.385000,16.966772,23016800
2011-05-12,20.385000,20.670000,20.360001,20.645000,17.183176,18200000
2011-05-13,20.690001,20.959999,20.514999,20.600000,17.145718,23727200
2011-05-16,20.480000,20.594999,20.209999,20.280001,16.879375,17727000
2011-05-17,20.280001,20.280001,20.040001,20.235001,16.841919,16102200
2011-05-18,20.180000,20.200001,19.990000,20.170000,16.787819,15985200
2011-05-19,20.240000,20.295000,19.995001,20.094999,16.725399,14056000
2011-05-20,20.325001,20.600000,20.270000,20.490000,17.054163,21076600
2011-05-23,20.250000,20.285000,20.105000,20.215000,16.825274,13000000
2011-05-24,20.254999,20.395000,20.059999,20.209999,16.821112,12685000
2011-05-25,20.205000,20.275000,20.110001,20.240000,16.846083,11666000
2011-05-26,20.200001,20.500000,20.115000,20.450001,17.020870,13971600
2011-05-27,20.480000,20.660000,20.430000,20.594999,17.141556,9929200
2011-05-31,20.615000,20.885000,20.605000,20.870001,17.370447,13747200
2011-06-01,20.785000,20.920000,20.635000,20.639999,17.179008,15302800
2011-06-02,20.559999,20.745001,20.540001,20.709999,17.237270,11075200
2011-06-03,20.480000,20.705000,20.389999,20.525000,17.083296,13982200
2011-06-06,20.450001,20.549999,20.350000,20.455000,17.025034,10354600
2011-06-07,20.510000,20.625000,20.355000,20.514999,17.074970,9846000
2011-06-08,20.520000,20.665001,20.379999,20.575001,17.124914,10002600
2011-06-09,20.620001,20.844999,20.525000,20.580000,17.129072,12480200
2011-06-10,20.549999,20.549999,20.105000,20.115000,16.742048,11997800
2011-06-13,19.650000,20.110001,19.625000,19.980000,16.629679,17699400
2011-06-14,20.115000,20.125000,19.860001,19.889999,16.554770,15579000
2011-06-15,19.799999,20.084999,19.745001,19.825001,16.500679,15163000
2011-06-16,19.885000,19.920000,19.715000,19.825001,16.500679,18837600
2011-06-17,19.950001,19.955000,19.665001,19.770000,16.454893,15756200
2011-06-20,19.725000,20.075001,19.725000,20.049999,16.687941,10405600
2011-06-21,19.985001,20.030001,19.775000,19.950001,16.604712,13684600
2011-06-22,19.950001,20.225000,19.825001,20.025000,16.667135,10646800
2011-06-23,19.830000,20.105000,19.665001,20.065001,16.700428,12026000
2011-06-24,20.049999,20.049999,19.790001,19.855000,16.525642,12799600
2011-06-27,19.865000,20.145000,19.725000,20.090000,16.721230,8347400
2011-06-28,20.094999,20.559999,20.014999,20.475000,17.041681,11762000
2011-06-29,20.750000,20.840000,20.625000,20.695000,17.224785,13510600
2011-06-30,20.785000,20.860001,20.660000,20.705000,17.233112,11183400
2011-07-01,20.719999,20.985001,20.690001,20.975000,17.457834,12459600
2011-07-05,20.940001,20.995001,20.715000,20.785000,17.299696,8889400
2011-07-06,20.865000,21.125000,20.825001,21.125000,17.582687,12234200
2011-07-07,21.235001,21.350000,21.170000,21.344999,17.765791,10788400
2011-07-08,21.219999,21.375000,21.094999,21.219999,17.661755,9525000
2011-07-11,21.040001,21.075001,20.565001,20.635000,17.174850,13550600
2011-07-12,20.504999,20.930000,20.500000,20.775000,17.291370,14635800
2011-07-13,20.865000,21.080000,20.750000,20.805000,17.316343,9862400
2011-07-14,20.865000,20.995001,20.605000,20.635000,17.174850,9524000
2011-07-15,20.635000,20.680000,20.355000,20.500000,17.062483,12105400
2011-07-18,20.445000,20.540001,20.160000,20.405001,16.983412,10437600
2011-07-19,20.549999,20.975000,20.445000,20.850000,17.353800,16830800
2011-07-20,20.850000,21.125000,20.850000,20.895000,17.391251,13231200
2011-07-21,21.025000,21.555000,21.025000,21.490000,17.886480,16810200
2011-07-22,21.510000,21.745001,21.405001,21.605000,17.982195,12567400
2011-07-25,21.520000,21.660000,21.309999,21.320000,17.744987,10383600
2011-07-26,21.230000,21.389999,21.014999,21.080000,17.545231,14831600
2011-07-27,20.930000,21.629999,20.865000,21.485001,17.882322,24871800
2011-07-28,21.445000,21.740000,21.375000,21.584999,17.965548,14195800
2011-07-29,21.315001,21.545000,21.160000,21.180000,17.628460,19094000
2011-08-01,21.295000,21.475000,20.610001,20.760000,17.278889,16189600
2011-08-02,20.549999,20.885000,20.180000,20.209999,16.821112,20053800
2011-08-03,20.275000,20.275000,19.424999,19.865000,16.533968,24300600
2011-08-04,19.645000,19.684999,18.684999,18.715000,15.576799,28618800
2011-08-05,18.855000,19.145000,18.495001,18.879999,15.714136,29249200
2011-08-08,18.520000,18.885000,18.115000,18.410000,15.322943,35305200
2011-08-09,18.635000,19.094999,18.075001,19.070000,15.872275,33614800
2011-08-10,18.950001,19.020000,17.639999,17.670000,14.707028,31104800
2011-08-11,17.825001,18.625000,17.770000,18.434999,15.343749,29225800
2011-08-12,18.530001,18.790001,18.275000,18.715000,15.576799,16154400
2011-08-15,18.690001,18.730000,18.090000,18.635000,15.510218,27790800
2011-08-16,18.635000,19.540001,18.610001,19.424999,16.167740,25843200
2011-08-17,19.385000,19.549999,19.055000,19.225000,16.001282,18721600
2011-08-18,18.695000,18.920000,18.475000,18.645000,15.518540,19609400
2011-08-19,18.405001,18.900000,18.370001,18.600000,15.481086,22590600
2011-08-22,18.959999,19.200001,18.780001,18.920000,15.747428,17334000
2011-08-23,18.905001,19.525000,18.815001,19.520000,16.246813,17680800
2011-08-24,19.415001,19.495001,18.870001,19.075001,15.876434,18478400
2011-08-25,19.115000,19.215000,18.905001,19.030001,15.838984,12799800
2011-08-26,18.969999,19.379999,18.700001,19.365000,16.117807,15702200
2011-08-29,19.500000,19.900000,19.305000,19.895000,16.558937,11040600
2011-08-30,19.850000,20.129999,19.730000,20.049999,16.687941,11102800
2011-08-31,20.105000,20.145000,19.775000,19.940001,16.596390,11439600
2011-09-01,19.920000,20.125000,19.760000,19.785000,16.467381,11961000
2011-09-02,19.504999,19.750000,19.400000,19.410000,16.155258,9992200
