values,time_s,h,m,s
0.08,1:06:20,1,6,20
0.09,1:06:40,1,6,40
0.07,1:07:00,1,7,0
0.13,1:07:20,1,7,20
0.03,1:07:40,1,7,40
0.1,1:08:00,1,8,0
0.06,1:08:20,1,8,20
0.13,1:08:40,1,8,40
0.03,1:09:00,1,9,0
0.05,1:09:20,1,9,20
0.11,1:09:40,1,9,40
0.13,1:10:00,1,10,0
0.03,1:10:20,1,10,20
0.03,1:10:40,1,10,40
0.13,1:11:00,1,11,0
0.08,1:11:20,1,11,20
0.08,1:11:40,1,11,40
0.07,1:12:00,1,12,0
0.09,1:12:20,1,12,20
0.02,1:12:40,1,12,40
0.14,1:13:00,1,13,0
0.11,1:13:20,1,13,20
0.05,1:13:40,1,13,40
0.09,1:14:00,1,14,0
0.07,1:14:20,1,14,20
0.1,1:14:40,1,14,40
0.06,1:15:00,1,15,0
0.06,1:15:20,1,15,20
0.1,1:15:40,1,15,40
0.07,1:16:00,1,16,0
0.09,1:16:20,1,16,20
0.03,1:16:40,1,16,40
0.13,1:17:00,1,17,0
0.02,1:17:20,1,17,20
0.14,1:17:40,1,17,40
0.11,1:18:00,1,18,0
0.05,1:18:20,1,18,20
0.11,1:18:40,1,18,40
0.05,1:19:00,1,19,0
0.05,1:19:20,1,19,20
0.11,1:19:40,1,19,40
0.09,1:20:00,1,20,0
0.07,1:20:20,1,20,20
0.09,1:20:40,1,20,40
0.07,1:21:00,1,21,0
0.07,1:21:20,1,21,20
0.09,1:21:40,1,21,40
0.04,1:22:00,1,22,0
0.12,1:22:20,1,22,20
0.06,1:22:40,1,22,40
0.1,1:23:00,1,23,0
0.08,1:23:20,1,23,20
0.08,1:23:40,1,23,40
0.08,1:24:00,1,24,0
0.08,1:24:20,1,24,20
0.04,1:24:40,1,24,40
0.12,1:25:00,1,25,0
0.07,1:25:20,1,25,20
0.09,1:25:40,1,25,40
0.02,1:26:00,1,26,0
0.14,1:26:20,1,26,20
0.05,1:26:40,1,26,40
0.11,1:27:00,1,27,0
0.03,1:27:20,1,27,20
0.13,1:27:40,1,27,40
0.02,1:28:00,1,28,0
0.14,1:28:20,1,28,20
0.03,1:28:40,1,28,40
0.13,1:29:00,1,29,0
0.02,1:29:20,1,29,20
0.14,1:29:40,1,29,40
0.09,1:30:00,1,30,0
0.07,1:30:20,1,30,20
0.13,1:30:40,1,30,40
0.03,1:31:00,1,31,0
0.03,1:31:20,1,31,20
0.13,1:31:40,1,31,40
0.06,1:32:00,1,32,0
0.1,1:32:20,1,32,20
0.11,1:32:40,1,32,40
0.05,1:33:00,1,33,0
0.11,1:33:20,1,33,20
0.05,1:33:40,1,33,40
0.07,1:34:00,1,34,0
0.09,1:34:20,1,34,20
0.03,1:34:40,1,34,40
0.13,1:35:00,1,35,0
0.01,1:35:20,1,35,20
0.15,1:35:40,1,35,40
0.11,1:36:00,1,36,0
0.05,1:36:20,1,36,20
0.05,1:36:40,1,36,40
0.11,1:37:00,1,37,0
0.02,1:37:20,1,37,20
0.14,1:37:40,1,37,40
0.02,1:38:00,1,38,0
0.14,1:38:20,1,38,20
0.04,1:38:40,1,38,40
0.12,1:39:00,1,39,0
0.04,1:39:20,1,39,20
0.12,1:39:40,1,39,40
0.04,1:40:00,1,40,0
0.12,1:40:20,1,40,20
0.08,1:40:40,1,40,40
0.08,1:41:00,1,41,0
0.1,1:41:20,1,41,20
0.06,1:41:40,1,41,40
0.09,1:42:00,1,42,0
0.07,1:42:20,1,42,20
0.04,1:42:40,1,42,40
0.12,1:43:00,1,43,0
0.02,1:43:20,1,43,20
0.14,1:43:40,1,43,40
0.03,1:44:00,1,44,0
0.13,1:44:20,1,44,20
0.03,1:44:40,1,44,40
0.13,1:45:00,1,45,0
0.07,1:45:20,1,45,20
0.09,1:45:40,1,45,40
0.03,1:46:00,1,46,0
0.13,1:46:20,1,46,20
0.09,1:46:40,1,46,40
0.07,1:47:00,1,47,0
0.06,1:47:20,1,47,20
0.1,1:47:40,1,47,40
0.05,1:48:00,1,48,0
0.11,1:48:20,1,48,20
0.04,1:48:40,1,48,40
0.12,1:49:00,1,49,0
0.05,1:49:20,1,49,20
0.11,1:49:40,1,49,40
0.1,1:50:00,1,50,0
0.06,1:50:20,1,50,20
0.04,1:50:40,1,50,40
0.12,1:51:00,1,51,0
0.06,1:51:20,1,51,20
0.1,1:51:40,1,51,40
0.04,1:52:00,1,52,0
0.12,1:52:20,1,52,20
0.04,1:52:40,1,52,40
0.12,1:53:00,1,53,0
0.06,1:53:20,1,53,20
0.1,1:53:40,1,53,40
0.05,1:54:00,1,54,0
0.11,1:54:20,1,54,20
0.1,1:54:40,1,54,40
0.06,1:55:00,1,55,0
0.03,1:55:20,1,55,20
0.13,1:55:40,1,55,40
0.02,1:56:00,1,56,0
0.14,1:56:20,1,56,20
0.06,1:56:40,1,56,40
0.1,1:57:00,1,57,0
0.06,1:57:20,1,57,20
0.1,1:57:40,1,57,40
0.11,1:58:00,1,58,0
0.05,1:58:20,1,58,20
0.11,1:58:40,1,58,40
0.05,1:59:00,1,59,0
0.01,1:59:20,1,59,20
0.15,1:59:40,1,59,40
0.02,2:00:00,2,0,0
0.14,2:00:20,2,0,20
0.08,2:00:40,2,0,40
0.08,2:01:00,2,1,0
0.02,2:01:20,2,1,20
0.14,2:01:40,2,1,40
0.05,2:02:00,2,2,0
0.11,2:02:20,2,2,20
0.02,2:02:40,2,2,40
0.14,2:03:00,2,3,0
0.02,2:03:20,2,3,20
